SC_ALL_Plvl,nwords,cl_av_deps,cl_ndeps_std_dev,acad_av_construction_freq,acad_av_construction_freq_type,acad_av_construction_freq_stdev
SC_all_p2,27,2.4,1.356465997,159297,159297,152534.8072
SC_all_p2,26,2.4,0.489897949,145263.2,145263.2,140650.8776
SC_all_p2,32,2.5,0.763762616,194125.4,194125.4,164909.6907
SC_all_p2,55,2.222222222,0.628539361,96186.44444,96186.44444,126520.1786
SC_all_p2,47,1.727272727,1.354514948,159474.5,159474.5,201256.697
SC_all_p2,18,2,0,233414,233414,0
SC_all_p2,21,4,1,3730,3730,0
SC_all_p2,14,0,0,0,0,0
SC_all_p2,54,3.125,0.59947894,63719.57143,63719.57143,125063.7227
SC_all_p2,20,2.75,1.299038106,295041,295041,55205.89918
SC_all_p2,37,3,0,13452.25,13452.25,17206.27578
SC_all_p2,34,2.4,1.019803903,267415.2,267415.2,255519.7873
SC_all_p2,33,2.5,0.763762616,157525.6,157525.6,265227.2788
SC_all_p2,32,2.2,0.4,295408,277418.75,143914
SC_all_p2,19,2,0,233414,233414,0
SC_all_p2,10,0,0,0,0,0
SC_all_p2,10,0,0,104569,104569,0
SC_all_p2,26,2.4,1.2,28781,28781,43793.39017
SC_all_p2,13,2,0,233414,233414,0
SC_all_p2,31,2.6,0.489897949,130622.8,130622.8,161553.6191
SC_all_p2,28,2.4,0.489897949,154369.2,154369.2,174012.544
SC_all_p2,55,2.714285714,0.699854212,69255,69255,133575.1895
SC_all_p2,66,2.181818182,0.833195581,97404.54545,97404.54545,197255.6377
SC_all_p2,50,2.333333333,0.942809042,66554.11111,66554.11111,111832.0757
SC_all_p2,12,0,0,0,0,0
SC_all_p2,9,0,0,0,0,0
SC_all_p2,4,0,0,0,0,0
SC_all_p2,12,4,0,0,0,0
SC_all_p2,37,3.25,0.829156198,18280.5,18280.5,19.5
SC_all_p2,35,2.428571429,0.494871659,142143.1429,142143.1429,161764.2961
SC_all_p2,58,2.2,0.871779789,204482.5556,204482.5556,224072.2209
SC_all_p2,59,2.454545455,0.655554777,123148.8,105238.2222,141993.6526
